[ 2244.684207] bitsmon: loaded, major=240 minor=0 interval_ms=1000
[ 2249.742829] bitsmon: n=4 min=1012ms max=1026ms avg=1021ms
[ 2254.850334] bitsmon: n=5 min=1021ms max=1027ms avg=1023ms
[ 2259.972847] bitsmon: n=5 min=1020ms max=1027ms avg=1024ms
[ 2265.090592] bitsmon: n=5 min=1022ms max=1025ms avg=1024ms
[ 2270.213340] bitsmon: n=5 min=1019ms max=1029ms avg=1024ms
[ 2275.329764] bitsmon: n=5 min=1020ms max=1027ms avg=1023ms
[ 2280.451430] bitsmon: n=5 min=1019ms max=1027ms avg=1023ms
[ 2285.569473] bitsmon: n=5 min=1017ms max=1031ms avg=1023ms
[ 2290.688106] bitsmon: n=5 min=1017ms max=1036ms avg=1024ms
[ 2295.810893] bitsmon: n=5 min=1021ms max=1026ms avg=1023ms
[ 2300.934607] bitsmon: n=5 min=1023ms max=1025ms avg=1023ms
[ 2306.048783] bitsmon: n=5 min=1021ms max=1027ms avg=1024ms
[ 2311.169079] bitsmon: n=5 min=1012ms max=1034ms avg=1023ms
[ 2316.298048] bitsmon: n=5 min=1023ms max=1029ms avg=1026ms
[ 2321.410592] bitsmon: n=5 min=1018ms max=1024ms avg=1021ms
[ 2326.529148] bitsmon: n=5 min=1020ms max=1025ms avg=1024ms
[ 2331.650314] bitsmon: n=5 min=1022ms max=1025ms avg=1024ms
[ 2336.769161] bitsmon: n=5 min=1021ms max=1030ms avg=1024ms
[ 2341.888100] bitsmon: n=5 min=1020ms max=1028ms avg=1024ms
[ 2347.019707] bitsmon: n=5 min=1017ms max=1030ms avg=1023ms
[ 2352.127505] bitsmon: n=5 min=1015ms max=1031ms avg=1024ms
[ 2357.250086] bitsmon: n=5 min=1020ms max=1024ms avg=1023ms
[ 2362.399975] bitsmon: n=5 min=1020ms max=1030ms avg=1024ms
[ 2367.488429] bitsmon: n=5 min=1014ms max=1033ms avg=1024ms
[ 2372.608418] bitsmon: n=5 min=1020ms max=1025ms avg=1023ms
[ 2377.727678] bitsmon: n=5 min=1022ms max=1024ms avg=1023ms
[ 2382.847228] bitsmon: n=5 min=1010ms max=1038ms avg=1024ms
[ 2387.972372] bitsmon: n=5 min=1021ms max=1026ms avg=1024ms
[ 2393.087205] bitsmon: n=5 min=1020ms max=1034ms avg=1025ms
[ 2398.208862] bitsmon: n=5 min=1012ms max=1026ms avg=1022ms
[ 2403.328189] bitsmon: n=5 min=1012ms max=1034ms avg=1025ms
[ 2408.447152] bitsmon: n=5 min=1017ms max=1031ms avg=1022ms
[ 2413.573466] bitsmon: n=5 min=1014ms max=1033ms avg=1023ms
[ 2418.687327] bitsmon: n=8 min=255ms max=1024ms avg=736ms
[ 2423.819716] bitsmon: n=20 min=254ms max=266ms avg=257ms
[ 2428.926811] bitsmon: n=20 min=252ms max=263ms avg=257ms
[ 2434.058058] bitsmon: n=20 min=250ms max=294ms avg=259ms
[ 2439.174923] bitsmon: n=20 min=252ms max=259ms avg=255ms
[ 2444.286743] bitsmon: n=20 min=250ms max=271ms avg=257ms
[ 2449.408954] bitsmon: n=20 min=251ms max=265ms avg=257ms
[ 2454.526880] bitsmon: n=19 min=252ms max=306ms avg=259ms
[ 2459.657796] bitsmon: n=20 min=253ms max=286ms avg=259ms
[ 2464.767320] bitsmon: n=20 min=252ms max=277ms avg=258ms
[ 2469.890328] bitsmon: n=20 min=251ms max=283ms avg=259ms
[ 2475.007205] bitsmon: n=20 min=253ms max=263ms avg=257ms
[ 2480.127878] bitsmon: n=19 min=252ms max=267ms avg=256ms
[ 2485.247332] bitsmon: n=20 min=249ms max=261ms avg=255ms
[ 2490.367782] bitsmon: n=20 min=251ms max=269ms avg=257ms
[ 2495.485450] bitsmon: n=20 min=251ms max=264ms avg=256ms
[ 2500.617538] bitsmon: n=20 min=250ms max=262ms avg=256ms
[ 2505.725891] bitsmon: n=20 min=252ms max=269ms avg=257ms
[ 2510.845154] bitsmon: n=20 min=252ms max=264ms avg=257ms
[ 2515.967948] bitsmon: n=20 min=254ms max=275ms avg=257ms
[ 2521.085216] bitsmon: n=20 min=251ms max=270ms avg=257ms
[ 2526.204163] bitsmon: n=20 min=252ms max=276ms avg=257ms
[ 2531.325596] bitsmon: n=19 min=252ms max=282ms avg=258ms
[ 2536.450002] bitsmon: n=20 min=252ms max=265ms avg=256ms
[ 2541.564079] bitsmon: n=20 min=253ms max=275ms avg=259ms
[ 2545.050442] bitsmon: unloaded
